,Open,High,Low,Close,Volume
2019.09.13 17:00,1503.90000,1504.55000,1492.36000,1495.80000,761800
2019.09.13 18:00,1495.80000,1497.13000,1489.23000,1490.84000,555690
2019.09.13 19:00,1490.84000,1492.35000,1488.33000,1490.28000,391750
2019.09.13 20:00,1490.26000,1493.73000,1489.44000,1491.73000,358740
2019.09.13 21:00,1491.74000,1492.04000,1485.82000,1486.57000,242090
2019.09.13 22:00,1486.56000,1489.68000,1486.10000,1486.90000,183690
2019.09.13 23:00,1486.91000,1489.17000,1486.62000,1488.65000,51530
2019.09.16 01:00,1506.24000,1506.24000,1498.80000,1504.38000,233220
2019.09.16 02:00,1504.37000,1508.13000,1502.38000,1506.16000,166650
2019.09.16 03:00,1506.14000,1512.17000,1505.30000,1505.65000,329970
2019.09.16 04:00,1505.67000,1510.52000,1505.66000,1507.62000,491200
2019.09.16 05:00,1507.63000,1508.15000,1502.67000,1502.91000,182560
2019.09.16 06:00,1502.93000,1505.19000,1502.79000,1503.11000,118290
2019.09.16 07:00,1503.10000,1505.75000,1503.01000,1504.28000,68950
2019.09.16 08:00,1504.27000,1505.53000,1501.26000,1503.91000,169170
2019.09.16 09:00,1503.91000,1507.13000,1502.93000,1505.07000,236310
2019.09.16 10:00,1505.07000,1505.08000,1502.56000,1503.73000,249010
2019.09.16 11:00,1503.68000,1504.15000,1499.07000,1502.50000,266960
2019.09.16 12:00,1502.50000,1504.15000,1500.78000,1503.84000,265350
2019.09.16 13:00,1503.83000,1505.16000,1502.58000,1503.00000,147250
2019.09.16 14:00,1503.01000,1505.01000,1502.59000,1503.66000,175500
2019.09.16 15:00,1503.66000,1504.62000,1501.41000,1501.56000,265150
2019.09.16 16:00,1501.48000,1503.25000,1496.32000,1497.48000,539210
2019.09.16 17:00,1497.49000,1500.63000,1495.91000,1499.50000,429570
2019.09.16 18:00,1499.52000,1506.29000,1499.48000,1503.92000,509740
2019.09.16 19:00,1503.91000,1504.67000,1502.47000,1503.17000,218840
2019.09.16 20:00,1503.16000,1504.40000,1499.70000,1502.18000,176340
2019.09.16 21:00,1502.20000,1502.68000,1499.70000,1501.82000,166920
2019.09.16 22:00,1501.83000,1503.16000,1496.90000,1498.84000,174800
2019.09.16 23:00,1498.85000,1499.41000,1497.46000,1498.19000,62790
2019.09.17 01:00,1498.92000,1500.17000,1498.18000,1499.11000,57160
2019.09.17 02:00,1499.11000,1499.19000,1496.89000,1498.10000,57170
2019.09.17 03:00,1498.08000,1499.43000,1496.94000,1497.22000,148820
2019.09.17 04:00,1497.22000,1499.93000,1497.10000,1499.78000,237060
2019.09.17 05:00,1499.79000,1500.93000,1498.50000,1498.59000,139370
2019.09.17 06:00,1498.58000,1499.23000,1497.59000,1498.12000,92640
2019.09.17 07:00,1498.12000,1498.60000,1496.26000,1498.21000,70960
2019.09.17 08:00,1498.21000,1499.05000,1497.06000,1497.43000,115890
2019.09.17 09:00,1497.41000,1497.41000,1493.51000,1494.41000,230320
2019.09.17 10:00,1494.41000,1498.77000,1494.15000,1497.87000,224010
2019.09.17 11:00,1497.87000,1498.71000,1496.96000,1497.71000,115390
2019.09.17 12:00,1497.71000,1500.06000,1497.23000,1498.17000,130150
2019.09.17 13:00,1498.16000,1499.30000,1495.84000,1498.98000,130960
2019.09.17 14:00,1498.99000,1501.52000,1498.62000,1501.07000,164720
2019.09.17 15:00,1501.07000,1505.21000,1500.88000,1503.07000,349050
2019.09.17 16:00,1503.06000,1505.77000,1497.95000,1501.58000,803310
2019.09.17 17:00,1501.58000,1504.19000,1500.70000,1501.89000,489140
2019.09.17 18:00,1501.90000,1506.04000,1501.59000,1504.90000,420710
2019.09.17 19:00,1504.90000,1507.14000,1504.13000,1505.85000,240390
2019.09.17 20:00,1505.85000,1507.00000,1503.27000,1503.70000,225260
2019.09.17 21:00,1503.69000,1503.95000,1501.91000,1502.57000,193210
2019.09.17 22:00,1502.57000,1503.69000,1501.37000,1502.12000,106560
2019.09.17 23:00,1502.12000,1502.33000,1500.95000,1501.31000,61280
2019.09.18 01:00,1500.98000,1502.27000,1500.80000,1501.29000,38580
2019.09.18 02:00,1501.30000,1501.80000,1500.47000,1500.85000,50420
2019.09.18 03:00,1500.86000,1501.89000,1500.76000,1501.16000,68570
2019.09.18 04:00,1501.17000,1503.62000,1500.61000,1503.00000,168200
2019.09.18 05:00,1503.02000,1503.38000,1501.62000,1502.05000,81270
2019.09.18 06:00,1502.04000,1503.22000,1501.61000,1502.90000,57650
2019.09.18 07:00,1502.90000,1503.14000,1501.84000,1502.38000,36790
2019.09.18 08:00,1502.39000,1503.47000,1501.65000,1502.17000,63700
2019.09.18 09:00,1502.17000,1502.73000,1500.77000,1501.67000,121440
2019.09.18 10:00,1501.66000,1502.16000,1501.10000,1501.67000,108180
2019.09.18 11:00,1501.66000,1502.09000,1500.69000,1501.68000,97390
2019.09.18 12:00,1501.67000,1503.15000,1501.49000,1502.61000,93160
2019.09.18 13:00,1502.62000,1502.81000,1499.52000,1501.20000,89590
2019.09.18 14:00,1501.20000,1501.82000,1501.00000,1501.60000,91210
2019.09.18 15:00,1501.60000,1505.33000,1501.41000,1504.60000,221910
2019.09.18 16:00,1504.60000,1506.61000,1503.70000,1504.64000,303670
