,Open,High,Low,Close,Volume
2019.01.04,1293.79000,1298.54000,1276.63000,1284.69000,291998,0
2019.01.07,1285.38000,1295.08000,1282.69000,1289.16000,220040,0
2019.01.08,1288.34000,1290.22000,1279.41000,1285.28000,219971,0
2019.01.09,1284.20000,1293.87000,1280.11000,1293.23000,232615,0
2019.01.10,1293.89000,1297.07000,1286.17000,1286.48000,237291,0
2019.01.11,1286.70000,1295.16000,1286.49000,1287.62000,215574,0
2019.01.14,1287.35000,1295.88000,1287.29000,1291.53000,199972,0
2019.01.15,1291.15000,1294.71000,1286.74000,1289.34000,237840,0
2019.01.16,1288.67000,1294.98000,1287.89000,1293.48000,193104,0
2019.01.17,1293.19000,1295.34000,1288.76000,1291.94000,206752,0
2019.01.18,1291.38000,1292.50000,1280.66000,1281.36000,195886,0
2019.01.21,1281.53000,1283.57000,1276.79000,1280.20000,96928,0
2019.01.22,1278.94000,1285.50000,1277.44000,1285.02000,170412,0
2019.01.23,1284.17000,1286.53000,1278.68000,1282.67000,174277,0
2019.01.24,1282.05000,1284.83000,1276.76000,1281.07000,198005,0
2019.01.25,1280.61000,1304.18000,1279.94000,1302.91000,204803,0
2019.01.28,1301.30000,1304.44000,1297.69000,1303.17000,172567,0
2019.01.29,1303.10000,1311.98000,1302.73000,1311.46000,172414,0
2019.01.30,1311.74000,1323.37000,1309.06000,1319.65000,206787,0
2019.01.31,1319.65000,1326.28000,1317.50000,1321.34000,211697,0
2019.02.01,1320.38000,1323.56000,1316.16000,1317.87000,190900,0
2019.02.04,1318.02000,1319.07000,1308.65000,1312.10000,155109,0
2019.02.05,1312.04000,1316.89000,1310.74000,1315.23000,153261,0
2019.02.06,1315.09000,1315.83000,1305.71000,1306.49000,150171,0
2019.02.07,1306.29000,1311.96000,1302.79000,1310.08000,176399,0
2019.02.08,1309.46000,1315.65000,1307.80000,1314.16000,149328,0
2019.02.11,1313.92000,1314.88000,1303.70000,1308.13000,157994,0
2019.02.12,1307.91000,1314.80000,1306.53000,1310.75000,163953,0
2019.02.13,1310.68000,1318.20000,1305.06000,1306.13000,184070,0
2019.02.14,1305.77000,1314.40000,1302.35000,1312.40000,218912,0
2019.02.15,1312.37000,1322.62000,1311.42000,1321.58000,187992,0
2019.02.18,1321.28000,1327.63000,1320.66000,1326.39000,113126,0
2019.02.19,1325.89000,1341.85000,1322.88000,1341.04000,210303,0
2019.02.20,1339.79000,1346.74000,1336.85000,1338.47000,222075,0
2019.02.21,1337.98000,1341.51000,1321.06000,1323.26000,256521,0
2019.02.22,1323.28000,1333.11000,1321.51000,1327.78000,211915,0
2019.02.25,1329.25000,1332.56000,1325.16000,1327.39000,200489,0
2019.02.26,1327.48000,1330.18000,1323.53000,1328.93000,191979,0
2019.02.27,1328.83000,1329.91000,1316.95000,1319.75000,183664,0
2019.02.28,1319.62000,1327.29000,1312.64000,1313.13000,218772,0
2019.03.01,1312.90000,1315.24000,1290.21000,1293.54000,240725,0
2019.03.04,1293.40000,1297.07000,1282.83000,1286.62000,183231,0
2019.03.05,1285.82000,1289.63000,1281.17000,1287.79000,167557,0
2019.03.06,1287.67000,1290.94000,1283.63000,1286.39000,166444,0
2019.03.07,1285.67000,1289.01000,1280.88000,1285.52000,171577,0
2019.03.08,1285.09000,1300.76000,1285.09000,1298.36000,191410,0
2019.03.11,1297.55000,1299.12000,1290.48000,1293.38000,153821,0
2019.03.12,1293.34000,1302.17000,1292.06000,1301.41000,167356,0
2019.03.13,1301.14000,1311.27000,1300.62000,1309.05000,151438,0
2019.03.14,1308.36000,1310.36000,1292.85000,1296.09000,161264,0
2019.03.15,1296.00000,1306.39000,1294.02000,1302.12000,156158,0
2019.03.18,1302.01000,1306.73000,1298.22000,1303.59000,131443,0
2019.03.19,1303.28000,1310.88000,1302.34000,1306.43000,133160,0
2019.03.20,1305.47000,1316.96000,1298.68000,1312.51000,179540,0
2019.03.21,1312.78000,1320.37000,1303.28000,1309.38000,183769,0
2019.03.22,1308.53000,1314.94000,1306.85000,1313.03000,195738,0
2019.03.25,1313.53000,1324.52000,1311.00000,1321.82000,162328,0
2019.03.26,1321.47000,1323.27000,1312.71000,1315.58000,161614,0
2019.03.27,1314.92000,1319.29000,1308.14000,1309.38000,170827,0
2019.03.28,1308.00000,1312.34000,1288.52000,1290.27000,193043,0
